Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Close Ended Schemes ( Income )


IIFL Mutual Fund
116533;IIFL FMP Series 1 - Dividend;9.9781;9.9781;9.9781;27-Jan-2012
116533;IIFL FMP Series 1 - Dividend;9.9889;9.9889;9.9889;30-Jan-2012
116533;IIFL FMP Series 1 - Dividend;9.9978;9.9978;9.9978;31-Jan-2012
116533;IIFL FMP Series 1 - Dividend;10.0080;10.0080;10.0080;01-Feb-2012
116533;IIFL FMP Series 1 - Dividend;10.0093;10.0093;10.0093;02-Feb-2012
116533;IIFL FMP Series 1 - Dividend;10.0118;10.0118;10.0118;03-Feb-2012
116533;IIFL FMP Series 1 - Dividend;10.0193;10.0193;10.0193;06-Feb-2012
116533;IIFL FMP Series 1 - Dividend;10.0218;10.0218;10.0218;07-Feb-2012
116533;IIFL FMP Series 1 - Dividend;10.0255;10.0255;10.0255;08-Feb-2012
116533;IIFL FMP Series 1 - Dividend;10.0267;10.0267;10.0267;09-Feb-2012
116533;IIFL FMP Series 1 - Dividend;10.0292;10.0292;10.0292;10-Feb-2012
116533;IIFL FMP Series 1 - Dividend;10.0361;10.0361;10.0361;13-Feb-2012
116533;IIFL FMP Series 1 - Dividend;10.0386;10.0386;10.0386;14-Feb-2012
116533;IIFL FMP Series 1 - Dividend;10.0411;10.0411;10.0411;15-Feb-2012
116533;IIFL FMP Series 1 - Dividend;10.0461;10.0461;10.0461;17-Feb-2012
116533;IIFL FMP Series 1 - Dividend;10.0562;10.0562;10.0562;21-Feb-2012
116533;IIFL FMP Series 1 - Dividend;10.0587;10.0587;10.0587;22-Feb-2012
116533;IIFL FMP Series 1 - Dividend;10.0643;10.0643;10.0643;23-Feb-2012
116533;IIFL FMP Series 1 - Dividend;10.0656;10.0656;10.0656;24-Feb-2012
116533;IIFL FMP Series 1 - Dividend;10.0731;10.0731;10.0731;27-Feb-2012
116533;IIFL FMP Series 1 - Dividend;10.0740;10.0740;10.0740;28-Feb-2012
116533;IIFL FMP Series 1 - Dividend;10.0742;10.0742;10.0742;29-Feb-2012
116533;IIFL FMP Series 1 - Dividend;10.0763;10.0763;10.0763;01-Mar-2012
116533;IIFL FMP Series 1 - Dividend;10.0788;10.0788;10.0788;02-Mar-2012
116533;IIFL FMP Series 1 - Dividend;10.0864;10.0864;10.0864;05-Mar-2012
116533;IIFL FMP Series 1 - Dividend;10.0889;10.0889;10.0889;06-Mar-2012
116533;IIFL FMP Series 1 - Dividend;10.0884;10.0884;10.0884;07-Mar-2012
116533;IIFL FMP Series 1 - Dividend;10.0839;10.0839;10.0839;09-Mar-2012
116533;IIFL FMP Series 1 - Dividend;10.0916;10.0916;10.0916;12-Mar-2012
116533;IIFL FMP Series 1 - Dividend;10.0941;10.0941;10.0941;13-Mar-2012
116533;IIFL FMP Series 1 - Dividend;10.0976;10.0976;10.0976;14-Mar-2012
116533;IIFL FMP Series 1 - Dividend;10.0999;10.0999;10.0999;15-Mar-2012
116533;IIFL FMP Series 1 - Dividend;10.1021;10.1021;10.1021;16-Mar-2012
116533;IIFL FMP Series 1 - Dividend;10.1090;10.1090;10.1090;19-Mar-2012
116533;IIFL FMP Series 1 - Dividend;10.1113;10.1113;10.1113;20-Mar-2012
116533;IIFL FMP Series 1 - Dividend;10.1139;10.1139;10.1139;21-Mar-2012
116533;IIFL FMP Series 1 - Dividend;10.1162;10.1162;10.1162;22-Mar-2012
116533;IIFL FMP Series 1 - Dividend;10.1254;10.1254;10.1254;26-Mar-2012
116533;IIFL FMP Series 1 - Dividend;10.1250;10.1250;10.1250;27-Mar-2012
116533;IIFL FMP Series 1 - Dividend;10.1278;10.1278;10.1278;28-Mar-2012
116533;IIFL FMP Series 1 - Dividend;10.1281;10.1281;10.1281;29-Mar-2012
116533;IIFL FMP Series 1 - Dividend;10.1301;10.1301;10.1301;30-Mar-2012
116533;IIFL FMP Series 1 - Dividend;10.1394;10.1394;10.1394;03-Apr-2012
116533;IIFL FMP Series 1 - Dividend;10.1426;10.1426;10.1426;04-Apr-2012
116533;IIFL FMP Series 1 - Dividend;10.1538;10.1538;10.1538;09-Apr-2012
116533;IIFL FMP Series 1 - Dividend;10.1581;10.1581;10.1581;10-Apr-2012
116533;IIFL FMP Series 1 - Dividend;10.1617;10.1617;10.1617;11-Apr-2012
116533;IIFL FMP Series 1 - Dividend;10.1676;10.1676;10.1676;12-Apr-2012
116533;IIFL FMP Series 1 - Dividend;10.1703;10.1703;10.1703;13-Apr-2012
116533;IIFL FMP Series 1 - Dividend;10.1774;10.1774;10.1774;16-Apr-2012
116533;IIFL FMP Series 1 - Dividend;10.1894;10.1894;10.1894;17-Apr-2012
116533;IIFL FMP Series 1 - Dividend;10.1945;10.1945;10.1945;18-Apr-2012
116533;IIFL FMP Series 1 - Dividend;10.1965;10.1965;10.1965;19-Apr-2012
116533;IIFL FMP Series 1 - Dividend;10.2013;10.2013;10.2013;20-Apr-2012
116533;IIFL FMP Series 1 - Dividend;10.2043;10.2043;10.2043;23-Apr-2012
116533;IIFL FMP Series 1 - Dividend;10.2027;10.2027;10.2027;24-Apr-2012
116533;IIFL FMP Series 1 - Dividend;10.2027;10.2027;10.2027;25-Apr-2012
116533;IIFL FMP Series 1 - Dividend;10.2052;10.2052;10.2052;26-Apr-2012
116533;IIFL FMP Series 1 - Dividend;10.2053;10.2053;10.2053;27-Apr-2012
116533;IIFL FMP Series 1 - Dividend;10.2125;10.2125;10.2125;30-Apr-2012
116533;IIFL FMP Series 1 - Dividend;10.2169;10.2169;10.2169;02-May-2012
116533;IIFL FMP Series 1 - Dividend;10.2196;10.2196;10.2196;03-May-2012
116533;IIFL FMP Series 1 - Dividend;10.2219;10.2219;10.2219;04-May-2012
116533;IIFL FMP Series 1 - Dividend;10.2281;10.2281;10.2281;07-May-2012
116533;IIFL FMP Series 1 - Dividend;10.2265;10.2265;10.2265;08-May-2012
116533;IIFL FMP Series 1 - Dividend;10.2228;10.2228;10.2228;09-May-2012
116533;IIFL FMP Series 1 - Dividend;10.2173;10.2173;10.2173;10-May-2012
116533;IIFL FMP Series 1 - Dividend;10.2152;10.2152;10.2152;11-May-2012
116533;IIFL FMP Series 1 - Dividend;10.2210;10.2210;10.2210;14-May-2012
116533;IIFL FMP Series 1 - Dividend;10.2243;10.2243;10.2243;15-May-2012
116533;IIFL FMP Series 1 - Dividend;10.2267;10.2267;10.2267;16-May-2012
116533;IIFL FMP Series 1 - Dividend;10.2292;10.2292;10.2292;17-May-2012
116533;IIFL FMP Series 1 - Dividend;10.2315;10.2315;10.2315;18-May-2012
116533;IIFL FMP Series 1 - Dividend;10.2357;10.2357;10.2357;21-May-2012
116533;IIFL FMP Series 1 - Dividend;10.2357;10.2357;10.2357;22-May-2012
116533;IIFL FMP Series 1 - Dividend;10.2376;10.2376;10.2376;23-May-2012
116533;IIFL FMP Series 1 - Dividend;10.2410;10.2410;10.2410;24-May-2012
116533;IIFL FMP Series 1 - Dividend;10.2425;10.2425;10.2425;25-May-2012
116533;IIFL FMP Series 1 - Dividend;10.2507;10.2507;10.2507;28-May-2012
116533;IIFL FMP Series 1 - Dividend;10.2543;10.2543;10.2543;29-May-2012
116533;IIFL FMP Series 1 - Dividend;10.2574;10.2574;10.2574;30-May-2012
116533;IIFL FMP Series 1 - Dividend;10.2663;10.2663;10.2663;31-May-2012
116533;IIFL FMP Series 1 - Dividend;10.2705;10.2705;10.2705;01-Jun-2012
116533;IIFL FMP Series 1 - Dividend;10.2822;10.2822;10.2822;04-Jun-2012
116533;IIFL FMP Series 1 - Dividend;10.2885;10.2885;10.2885;05-Jun-2012
116533;IIFL FMP Series 1 - Dividend;10.2946;10.2946;10.2946;06-Jun-2012
116533;IIFL FMP Series 1 - Dividend;10.2977;10.2977;10.2977;07-Jun-2012
116533;IIFL FMP Series 1 - Dividend;10.3017;10.3017;10.3017;08-Jun-2012
116533;IIFL FMP Series 1 - Dividend;10.3082;10.3082;10.3082;11-Jun-2012
116533;IIFL FMP Series 1 - Dividend;10.3141;10.3141;10.3141;12-Jun-2012
116533;IIFL FMP Series 1 - Dividend;10.3303;10.3303;10.3303;13-Jun-2012
116533;IIFL FMP Series 1 - Dividend;10.3307;10.3307;10.3307;14-Jun-2012
116533;IIFL FMP Series 1 - Dividend;10.3326;10.3326;10.3326;15-Jun-2012
116533;IIFL FMP Series 1 - Dividend;10.3313;10.3313;10.3313;18-Jun-2012
116533;IIFL FMP Series 1 - Dividend;10.3311;10.3311;10.3311;19-Jun-2012
116533;IIFL FMP Series 1 - Dividend;10.3394;10.3394;10.3394;20-Jun-2012
116533;IIFL FMP Series 1 - Dividend;10.3465;10.3465;10.3465;21-Jun-2012
116533;IIFL FMP Series 1 - Dividend;10.3486;10.3486;10.3486;22-Jun-2012
116533;IIFL FMP Series 1 - Dividend;10.3571;10.3571;10.3571;25-Jun-2012
116533;IIFL FMP Series 1 - Dividend;10.3606;10.3606;10.3606;26-Jun-2012
116533;IIFL FMP Series 1 - Dividend;10.3646;10.3646;10.3646;27-Jun-2012
116533;IIFL FMP Series 1 - Dividend;10.3683;10.3683;10.3683;28-Jun-2012
116533;IIFL FMP Series 1 - Dividend;10.3764;10.3764;10.3764;29-Jun-2012
116533;IIFL FMP Series 1 - Dividend;10.3865;10.3865;10.3865;03-Jul-2012
116533;IIFL FMP Series 1 - Dividend;10.3919;10.3919;10.3919;04-Jul-2012
116533;IIFL FMP Series 1 - Dividend;10.3993;10.3993;10.3993;05-Jul-2012
116533;IIFL FMP Series 1 - Dividend;10.4054;10.4054;10.4054;06-Jul-2012
116533;IIFL FMP Series 1 - Dividend;10.4118;10.4118;10.4118;09-Jul-2012
116533;IIFL FMP Series 1 - Dividend;10.4133;10.4133;10.4133;10-Jul-2012
116533;IIFL FMP Series 1 - Dividend;10.4154;10.4154;10.4154;11-Jul-2012
116533;IIFL FMP Series 1 - Dividend;10.4182;10.4182;10.4182;12-Jul-2012
116533;IIFL FMP Series 1 - Dividend;10.4215;10.4215;10.4215;13-Jul-2012
116533;IIFL FMP Series 1 - Dividend;10.4311;10.4311;10.4311;16-Jul-2012
116533;IIFL FMP Series 1 - Dividend;10.4361;10.4361;10.4361;17-Jul-2012
116533;IIFL FMP Series 1 - Dividend;10.4391;10.4391;10.4391;18-Jul-2012
116533;IIFL FMP Series 1 - Dividend;10.4433;10.4433;10.4433;19-Jul-2012
116533;IIFL FMP Series 1 - Dividend;10.4467;10.4467;10.4467;20-Jul-2012
116533;IIFL FMP Series 1 - Dividend;10.4548;10.4548;10.4548;23-Jul-2012
116533;IIFL FMP Series 1 - Dividend;10.4578;10.4578;10.4578;24-Jul-2012
116533;IIFL FMP Series 1 - Dividend;10.4629;10.4629;10.4629;25-Jul-2012
116533;IIFL FMP Series 1 - Dividend;10.4672;10.4672;10.4672;26-Jul-2012
116533;IIFL FMP Series 1 - Dividend;10.4698;10.4698;10.4698;27-Jul-2012
116533;IIFL FMP Series 1 - Dividend;10.4775;10.4775;10.4775;30-Jul-2012
116533;IIFL FMP Series 1 - Dividend;10.4778;10.4778;10.4778;31-Jul-2012
116533;IIFL FMP Series 1 - Dividend;10.4796;10.4796;10.4796;01-Aug-2012
116533;IIFL FMP Series 1 - Dividend;10.4842;10.4842;10.4842;02-Aug-2012
116533;IIFL FMP Series 1 - Dividend;10.4915;10.4915;10.4915;03-Aug-2012
116533;IIFL FMP Series 1 - Dividend;10.5019;10.5019;10.5019;06-Aug-2012
116533;IIFL FMP Series 1 - Dividend;10.5072;10.5072;10.5072;07-Aug-2012
116533;IIFL FMP Series 1 - Dividend;10.5087;10.5087;10.5087;08-Aug-2012
116533;IIFL FMP Series 1 - Dividend;10.5105;10.5105;10.5105;09-Aug-2012
116533;IIFL FMP Series 1 - Dividend;10.5097;10.5097;10.5097;10-Aug-2012
116533;IIFL FMP Series 1 - Dividend;10.5180;10.5180;10.5180;13-Aug-2012
116533;IIFL FMP Series 1 - Dividend;10.5200;10.5200;10.5200;14-Aug-2012
116533;IIFL FMP Series 1 - Dividend;10.5231;10.5231;10.5231;16-Aug-2012
116533;IIFL FMP Series 1 - Dividend;10.5215;10.5215;10.5215;17-Aug-2012
116533;IIFL FMP Series 1 - Dividend;10.5325;10.5325;10.5325;21-Aug-2012
116533;IIFL FMP Series 1 - Dividend;10.5410;10.5410;10.5410;22-Aug-2012
116533;IIFL FMP Series 1 - Dividend;10.5456;10.5456;10.5456;23-Aug-2012
116533;IIFL FMP Series 1 - Dividend;10.5507;10.5507;10.5507;24-Aug-2012
116533;IIFL FMP Series 1 - Dividend;10.5561;10.5561;10.5561;27-Aug-2012
